Gateway Capability Area,Required Feature/Capability,Azure Service / Feature,GA Status,Capability It Provides,GA Alternative (if not GA),Notes / Recommendation
Security - OAuth2 Authorization,Authorize agent-to-agent and service-to-service calls using OAuth2 client credentials flow,Azure API Management oauth2-authorization Policy + Entra ID App Registrations,[GA],"APIM acts as OAuth2 authorization gateway; validates client credentials tokens from Entra ID; enforces scope-based access (e.g. agents.invoke / mcp.tools.call / llm.complete); managed identity tokens auto-refreshed",N/A - GA today,"Register each agent type as Entra ID app registration with specific scopes; APIM policy validates scope claim matches required permission for each API operation"
Security - mTLS for Backend Connections,Encrypt and mutually authenticate all connections from APIM to backend LLM / agent / MCP endpoints,Azure API Management Client Certificate Authentication (mTLS),[GA],"APIM presents client certificate to backend Azure OpenAI / Foundry endpoints; backends validate APIM certificate; prevents unauthorized gateway bypass; certificates stored in APIM certificate store linked to Key Vault",N/A - GA today,Required for HIPAA compliance; configure on Azure OpenAI backends and Foundry Agent Service endpoints; certificate auto-rotation via Key Vault
Security - IP Allowlisting / Network Isolation,Restrict inbound APIM access to known IP ranges and internal VNet traffic only,Azure API Management ip-filter Policy + Standard v2 VNet Integration,[GA],"ip-filter policy blocks requests outside allowlisted CIDR ranges; APIM Standard v2 supports VNet injection (internal mode) so external internet cannot reach APIM; only traffic from Container Apps VNet and Front Door is allowed",N/A - GA today,"Standard v2 Internal mode planned per repo architecture docs; deploy APIM in same VNet as Container Apps; allow only Azure Front Door service tag for external-facing endpoints"
Security - RBAC on Gateway APIs,Enforce role-based access so only authorized callers invoke sensitive APIs (LLM direct / eval / admin),Azure API Management Products + Subscription Scoping + JWT Claim Check,[GA],"Define APIM products per role tier (Admin / Publisher / Consumer); JWT claim check policy verifies required role claim before routing; admins can call eval and admin APIs; publishers can deploy; consumers can invoke only deployed assets",N/A - GA today,"Map Entra ID app roles (marketplace.admin / marketplace.publisher / marketplace.consumer) to APIM product subscriptions; check role claim in APIM inbound policy"
Content Safety - PHI/PII Masking in Prompts,Detect and mask PHI/PII in inbound prompts before they reach LLM backends,Azure API Management Policy + Azure AI Content Safety PII Detection API,[GA],"APIM inbound policy calls Azure AI Content Safety text analysis endpoint synchronously; detected PII entities (name / SSN / date-of-birth / insurance ID) replaced with placeholder tokens; original values stored in Key Vault-backed session store for de-anonymization; de-anonymized in APIM outbound policy",N/A - GA today,"Content Safety PII detection GA in East US / East US 2; critical for HIPAA compliance; add <30ms latency per call; cache PII detection results for identical prompt substrings using Redis"
Content Safety - Jailbreak and Prompt Injection Detection,Block adversarial prompts attempting to bypass agent guardrails or extract system prompts,Azure AI Content Safety Prompt Shield API + APIM Policy,[GA],"Prompt Shield (GA) detects direct jailbreak attacks and indirect prompt injection in both user messages and documents; APIM calls Prompt Shield in inbound policy; blocks request with 400 and logs violation to audit-log; threshold configurable per API sensitivity level",N/A - GA today,"Prompt Shield released GA in late 2024; apply to all LLM proxy and agent invocation endpoints; lower threshold (stricter) for clinical/financial data agents"
Content Safety - Output Content Filtering,Filter LLM responses for harmful content categories (hate / violence / sexual / self-harm) before returning to caller,Azure OpenAI Content Filtering (built-in) + Azure AI Content Safety API,[GA],"Azure OpenAI deployments include built-in content filtering at model layer (configurable severity thresholds); APIM outbound policy additionally calls Content Safety for OSS model responses that lack built-in filtering; blocks or flags response before returning to agent",N/A - GA today,"Enable stricter content filter profiles on Azure OpenAI deployments in Foundry portal; for OSS models (DeepSeek / Mistral) add explicit Content Safety outbound policy check"
Content Safety - Groundedness Check,Verify LLM responses are grounded in provided context and not hallucinated,Azure AI Content Safety Groundedness Detection API,[GA],"Groundedness detection (GA) checks whether model response claims are supported by the provided grounding sources (RAG context); APIM outbound policy calls groundedness endpoint; flags ungrounded responses with warning header or blocks them for high-risk use cases",N/A - GA today,"Apply to coding / eligibility / denial prediction agent responses where accuracy is critical; log groundedness scores to App Insights for model quality tracking"
Observability - Token Usage Metrics,Track prompt + completion + total token consumption per tenant / model / agent / operation in real time,Azure API Management Token Metric Policies + Azure Monitor + Azure Monitor Workbooks,[GA],"azure-openai-emit-token-metric and llm-emit-token-metric push token counts to Azure Monitor; custom dimensions: tenantId / agentId / modelId / operationType; Azure Monitor workbooks aggregate into cost-per-tenant dashboards; alert rules fire when daily token spend exceeds thresholds",N/A - GA today,"Token metric policies already GA and available in APIM; add tenantId JWT claim extraction to emit per-tenant metrics; wire to billing/chargeback container in Cosmos DB"
Observability - Distributed Request Tracing,Correlate a single user request across gateway -> orchestrator -> agent -> LLM -> MCP server hops,Azure Application Insights + APIM Application Insights Logger + OpenTelemetry,[GA],"APIM emits request/response telemetry to App Insights with correlation IDs; orchestrator (Azure Functions) and agents propagate W3C TraceContext headers; App Insights end-to-end transaction view shows full call chain with latency breakdown per hop",N/A - GA today,"App Insights connection string already wired in repo; enable APIM App Insights logger; ensure all Azure Functions pass traceparent header to downstream calls"
Observability - Request / Response Logging,Log all API requests and responses for audit trail and debugging (with PII redaction),Azure API Management Diagnostic Logging + Azure Event Hubs + Log Analytics,[GA],"APIM diagnostic policy logs headers / status codes / latency to App Insights and Event Hubs; request/response bodies sampled at configurable rate (10% for cost); PII fields stripped via APIM set-body policy before logging; logs retained in Log Analytics for 90 days",N/A - GA today,"Do NOT log full request bodies for LLM calls (PHI risk); log metadata only: tenantId / agentId / modelId / tokenCount / latency / statusCode; store full bodies in Cosmos DB audit-log only when policy violation detected"
Observability - Real-Time Gateway Dashboard,Live operational view of gateway throughput / latency / error rates / token burn rate,Azure Monitor Workbooks + Application Insights Live Metrics + Azure Managed Grafana,[GA],"App Insights Live Metrics shows real-time RPS / failure rate / latency; Azure Monitor workbooks build custom dashboards with token burn rate / model utilization / per-tenant cost; Azure Managed Grafana for operations team NOC screens",N/A - GA today,"Build APIM-specific workbook with panels: requests/min per model / p95 latency / 429 rate / token consumption per tenant / circuit breaker trip events"
Reliability - Retry on 429 / 503,Automatically retry throttled or temporarily unavailable LLM requests without failing the caller,Azure API Management Retry Policy,[GA],"Configurable retry count and interval; respects Retry-After header from Azure OpenAI (avoids hammering); exponential backoff option; retry only on idempotent requests; stops retry and returns 429 upstream after max attempts",N/A - GA today,"Set max retries to 3 with exponential backoff starting at 2s; log each retry attempt to App Insights with original tenantId and modelId for capacity planning"
Reliability - Circuit Breaker on LLM Backends,Prevent cascading failures when Azure OpenAI endpoint is degraded or throttled,Azure API Management Circuit Breaker Policy (Backend),[GA],"Trip circuit after N consecutive failures within time window; in open state route to fallback backend (PAYG or different region); half-open probe after break duration; log state transitions to App Insights; faster than waiting for timeout on every request",N/A - GA today,"Trip threshold: 5 failures in 30s; break duration: 20s; configure per backend pool so GPT-4o pool failure does not affect embedding pool"
Reliability - Timeout Enforcement,Enforce maximum response time for LLM calls to prevent slow backends from blocking orchestrator threads,Azure API Management wait-for-condition + forward-request Timeout,[GA],"APIM forward-request policy accepts timeout parameter (seconds); long-running LLM calls that exceed timeout return 504 with structured error; orchestrator can implement fallback logic (shorter model / cached response); prevents thread exhaustion in agent runtimes",N/A - GA today,"Set model-appropriate timeouts: GPT-4o (30s) / o1 reasoning (120s) / embedding (5s) / image generation (60s); return structured error with x-timeout-model header so caller can retry with faster model"
Orchestrator Traffic - API Routing to Orchestration Engine,Route workflow execution requests from frontend to orchestrator backend (Azure Functions / Container Apps),Azure API Management Routing Policy + Backend Services,[GA],"APIM routes /api/orchestrator/* paths to orchestration Azure Functions; /api/canvas/* to Container Apps visual builder; /api/workflows/* to workflow execution engine; each route enforces appropriate auth and rate limits",N/A - GA today,"Orchestration API calls are long-running (multi-agent workflows); set APIM forward-request timeout to 300s for orchestration endpoints; use async pattern with 202 Accepted + polling for workflows exceeding 30s"
Orchestrator Traffic - Async Long-Running Workflow Support,Return 202 Accepted immediately for long-running orchestrator calls; allow client to poll for result,Azure API Management + Azure Service Bus + Async Pattern,[GA],"APIM inbound policy enqueues workflow request to Service Bus and returns 202 with Location header for polling; client polls /api/workflows/{id}/status; APIM checks Cosmos DB execution state via Azure Functions backend; prevents client timeout on complex multi-agent workflows",N/A - GA today,"Service Bus already deployed in repo Bicep; implement status polling endpoint in Azure Functions; APIM Location header points to polling URL; 303 See Other when complete"
Orchestrator Traffic - Request Prioritization,Route high-priority claims (high-value / time-sensitive) to faster execution queue,Azure API Management Priority Header + Service Bus Topic Filters,[GA],"APIM inbound policy reads x-claim-priority header (high/standard/low); routes to separate Service Bus topics per priority tier; high-priority queue processed by dedicated Function instances; prevents low-value background processing from blocking urgent claim workflows",N/A - GA today,Set priority based on claim value threshold and SLA contract tier in APIM policy using JWT claim and request body inspection
Agent Traffic - Agent-to-Agent Call Routing,Route A2A (agent-to-agent) invocation calls between registered agents via gateway,Azure API Management + A2A Agent Registry (Cosmos DB) + APIM Policy,[GA],"Calling agent sends POST /api/agents/{targetAgentId}/invoke; APIM policy looks up target agent endpoint from A2A registry (Cosmos DB); validates calling agent has permission to invoke target; forwards with injected identity headers; logs invocation to audit trail",N/A - GA today,"A2A registry already implemented in repo (a2a-agents.ts); wire APIM routing policy to query registry endpoint; use Google A2A protocol format already scaffolded in repo"
Agent Traffic - Agent Identity and Authentication,Ensure each agent call carries verifiable identity so downstream services can enforce per-agent permissions,Azure Managed Identity + APIM Policy + Entra ID Workload Identity,[GA],"Each agent container (Container Apps) has assigned managed identity; APIM validates managed identity JWT on inbound; downstream services (Foundry / Cosmos DB / MCP servers) grant access to specific managed identity object IDs; no shared secrets between agents",N/A - GA today,"Container Apps managed identity already used in repo (infra/modules/functions.bicep); extend to agent containers in Container Apps; APIM validates MI token audience = APIM resource ID"
Agent Traffic - Agent Discovery Routing,Allow agents to discover and invoke other agents by capability without hardcoded endpoints,Azure API Management + Semantic Search on A2A Registry (Azure AI Search),[GA],"Agent sends capability query to /api/agents/discover?capability=denial-prediction; APIM routes to A2A registry search function; Azure AI Search returns ranked agent matches; calling agent receives agent ID and invocation URL; APIM enforces permission check before returning",N/A - GA today,"A2A registry with semantic skill keywords already implemented in repo; add Azure AI Search index over a2a-agents Cosmos container for semantic discovery"
MCP Server Traffic - JSON-RPC 2.0 Proxying,Proxy all MCP JSON-RPC 2.0 calls (tools/call / resources/read / prompts/get) through central gateway,Azure API Management HTTP Proxy + Custom APIM Policies,[GA],"APIM proxies POST requests to MCP server endpoints; validates JSON-RPC 2.0 message format in inbound policy; injects auth headers (Bearer / API-key) from Key Vault named values; routes to correct backend based on {serverId} path parameter; MCP gateway already implements this in Azure Functions - APIM adds enterprise policy layer on top",N/A - GA today,"MCP Gateway fully implemented in repo (mcp-gateway.ts); place APIM in front of Azure Functions MCP Gateway for auth / rate limiting / logging; APIM does not need MCP-specific awareness - MCP is just HTTP POST + SSE"
MCP Server Traffic - Server Registration and Routing,Route MCP tool invocations to correct registered server based on server ID; support virtual server aggregation,Azure API Management + MCP Server Registry (Cosmos DB) + Azure Functions,[GA],"APIM routes /mcp-gateway/{serverId}/* to Azure Functions MCP Gateway; Functions look up server endpoint from Cosmos DB mcp-servers container; virtual server IDs aggregate tools from multiple backends using serverName::toolName routing convention already implemented",N/A - GA today,"mcp-gateway.ts already implements virtual server routing; APIM adds: (1) auth validation, (2) rate limiting per serverId, (3) audit logging, (4) circuit breaking if MCP server is unhealthy"
MCP Server Traffic - SSE Streaming Transport,Support Server-Sent Events (SSE) streaming transport for MCP servers that use text/event-stream responses,Azure API Management SSE Passthrough (buffered-proxy=false),[GA],"APIM supports SSE streaming with buffered-proxy attribute set to false on forward-request; streams chunks to client as they arrive from MCP server without buffering entire response; required for real-time tool output streaming",N/A - GA today,"MCP gateway already handles text/event-stream in repo; configure APIM forward-request with buffer-response=false for SSE paths; set appropriate APIM timeout (300s) for long-running MCP tool calls"
MCP Server Traffic - Tool Discovery Caching,Cache MCP tools/list responses to reduce repeated discovery calls to backend MCP servers,Azure API Management Cache Policy + Azure Redis Cache,[GA],"APIM cache-lookup-value policy caches tools/list response by serverId + tenantId key; TTL configurable (60s default); cache-store-value policy persists response; eliminates repeated discovery round-trips; Redis Cache provides shared cache across multiple APIM gateway nodes",N/A - GA today,"60s TTL already used in MCP gateway (TOOLS_LIST_TTL_MS); move cache to APIM + Redis so cache is shared across all APIM nodes; invalidate on MCP server registration update event"
Cost Management - Per-Tenant Token Attribution,Track LLM token consumption per tenant for billing and chargeback reporting,Azure API Management Token Metric Policies + Azure Monitor + Cosmos DB billing container,[GA],"APIM token metric policies emit token counts with tenantId JWT claim as custom dimension; Azure Monitor aggregates daily/monthly totals per tenant; Azure Functions billing job reads Azure Monitor metrics API and writes to Cosmos DB billing container for invoice generation",N/A - GA today,"Extract tenantId from JWT claim in APIM policy: <claim name='tenantId' />; emit as custom dimension on token metric; bill at $0.002/1k tokens or custom contract rate per tenant tier"
Cost Management - Budget Alerts and Enforcement,Alert operations team when a tenant approaches token spend threshold; hard-stop on budget exhaustion,Azure Monitor Alert Rules + Azure API Management Token Limit Policy + Azure Functions,[GA],"Azure Monitor alert fires when tenant token metric crosses 80% of monthly budget (warning) and 100% (critical); alert triggers Azure Functions to update Cosmos DB tenant budget state to EXCEEDED; APIM inbound policy checks tenant budget state and returns 429 with budget-exceeded error before calling LLM",N/A - GA today,"Budget state in Cosmos DB tenant-configs container; APIM inbound policy calls Azure Functions budget-check endpoint (cached 30s) before routing to LLM; prevents overrun between metric emission and enforcement"
Cost Management - Model Cost Normalization,Normalize token costs across different model types for unified cost reporting (GPT-4o vs GPT-3.5 vs OSS),Azure Monitor Custom Metrics + Azure Functions Cost Calculator,[GA],"APIM emits raw token counts per model; Azure Functions cost calculator applies model-specific pricing multipliers (GPT-4o = 10x vs gpt-35-turbo = 1x) and writes normalized cost units to Cosmos DB; unified cost dashboard shows equivalent cost regardless of model mix",N/A - GA today,"Pricing multipliers stored in Cosmos DB config container per modelId; Functions job runs hourly to aggregate and normalize; feed normalized costs to cost dashboard in Azure Monitor workbook"
Semantic Caching - LLM Response Caching,Cache semantically similar LLM prompt/response pairs to reduce duplicate API calls and costs,Azure API Management azure-openai-semantic-cache-lookup + azure-openai-semantic-cache-store Policies + Azure Redis Cache,[PREVIEW] - Semantic cache APIM policies are in Preview,"APIM semantic cache policies use embeddings to find similar cached responses within configurable similarity threshold; cache hit returns stored response without calling LLM; Redis Cache stores embedding + response pairs; can reduce 20-40% of LLM calls for repetitive RCM tasks",GA Alternative: Exact-match Redis cache for deterministic prompts (policy evaluation / classification calls) + application-layer semantic cache using Azure AI Search vector search,"Use exact-match caching (GA) for high-frequency deterministic prompts (e.g. denial reason classification); defer semantic caching to application layer until APIM policy reaches GA; monitor APIM preview policy stability in East US 2"
Semantic Caching - Exact Match Response Caching,Cache exact LLM responses for identical prompts (classification / policy evaluation / lookup tasks),Azure API Management cache-lookup + cache-store Policies + Azure Redis Cache,[GA],"APIM cache-lookup policy checks Redis for exact match of request hash (model + system-prompt + user-message hash); on hit returns cached response with x-cache: HIT header; on miss forwards to LLM and caches response with configurable TTL; dramatically reduces cost for repetitive classification calls",N/A - GA today,"High-value cache targets: ICD-10 code validation prompts / denial reason classification / eligibility check standard prompts; set TTL based on payer data freshness (24h for stable reference data)"
Protocol - SSE Streaming Passthrough,Pass through streaming token-by-token LLM responses to frontend without buffering entire response,Azure API Management Streaming Support (buffered-proxy=false),[GA],"APIM forward-request with buffer-response=false streams response chunks immediately to caller; supports text/event-stream and application/x-ndjson content types; allows users to see LLM output token-by-token in playground UI; critical for user experience on long-form responses",N/A - GA today,"Enable on /llm/completions and /llm/chat endpoints only; disable on /llm/embeddings and /llm/structured-output (buffering needed for APIM policy processing on structured outputs)"
Protocol - WebSocket Support,Support WebSocket connections for real-time bidirectional communication between agents and orchestrator,Azure API Management WebSocket API,[GA],"APIM proxies WebSocket upgrade requests to backend WebSocket servers; supports RFC 6455; JWT validation on HTTP upgrade handshake; rate limiting applied per WebSocket connection; useful for live orchestrator status streaming and human-in-loop real-time interaction",N/A - GA today,"Use WebSocket for: (1) live workflow execution status updates to canvas UI, (2) real-time human-in-loop agent interaction, (3) streaming agent tool call results to frontend"
Protocol - JSON-RPC 2.0 Validation,Validate MCP JSON-RPC 2.0 message format before routing to prevent malformed requests reaching backend servers,Azure API Management Policy (JSON Validation + Schema),[GA],"APIM json-validate policy enforces JSON-RPC 2.0 schema (jsonrpc / method / params / id fields); rejects malformed messages with 400 before reaching MCP servers; schema validation prevents injection attacks via malformed RPC method names; method allowlist policy blocks unknown RPC methods",N/A - GA today,"Define JSON schema for each MCP method (tools/call / resources/read / prompts/get / initialize) as APIM named values; validate against schema in inbound policy; block any methods not in allowlist"
Multi-Tenancy - Tenant-Scoped Routing,Ensure all gateway routing decisions are scoped to the requesting tenant; prevent cross-tenant data access,Azure API Management JWT Claim Extraction + Policy Expressions,[GA],"Extract tenantId from validated JWT in APIM inbound policy; set as context variable; all backend calls include x-tenant-id header; backend Azure Functions validate header matches Cosmos DB partition key; APIM policy rejects requests with missing or mismatched tenantId claim",N/A - GA today,"Critical for HIPAA multi-tenant isolation; validate tenantId claim against subscription ownership in APIM; tenant A cannot invoke tenant B agent endpoints even with valid JWT"
Multi-Tenancy - Per-Tenant Rate Limits and Quotas,Apply different rate limits and token quotas per tenant based on their subscription tier,Azure API Management rate-limit-by-key + quota-by-key Policies + APIM Products,[GA],"Define APIM Products per tier (Free / Standard / Enterprise); each product has different rate-limit-by-key and quota-by-key settings; tenants assigned to product at subscription provisioning; tier upgrade moves subscription to higher-limit product without code change",N/A - GA today,"Example tiers: Free (100 req/min / 50k tokens/day) / Standard (500 req/min / 500k tokens/day) / Enterprise (2000 req/min / unlimited tokens with cost alert)"
Multi-Tenancy - Tenant Onboarding and Key Provisioning,Automatically provision APIM subscription keys for new tenants during marketplace onboarding,Azure API Management Management API + Azure Functions Provisioning Workflow,[GA],"Tenant onboarding Azure Function calls APIM Management API to create subscription for new tenantId; assigns to appropriate product tier; stores subscription key in Cosmos DB tenant-configs; Key Vault for sensitive key storage; key delivered to tenant via secure notification",N/A - GA today,"APIM Management API is GA; wire to publisher onboarding workflow already scaffolded in repo; use managed identity from Azure Functions to call APIM Management REST API"
Developer Experience - Developer Portal,Provide self-service API documentation and key management for agent developers and MCP server publishers,Azure API Management Developer Portal,[GA],"Auto-generated portal from OpenAPI definitions; interactive API console for testing; subscription key management; usage analytics per developer; customizable branding; supports Entra ID sign-in for developer registration",N/A - GA today,"Enable Developer Portal for internal teams (data scientists / ML engineers / vendor engineers); expose: LLM Proxy API / Orchestrator API / MCP Gateway API / Agent Registry API; restrict to internal VNet in enterprise deployment"
Developer Experience - OpenAPI Spec Generation,Auto-generate and publish OpenAPI 3.0 specs for all gateway APIs for developer tooling integration,Azure API Management OpenAPI Export + Azure Functions OpenAPI Extension,[GA],"APIM exports OpenAPI 3.0 spec per API; Azure Functions v4 supports OpenAPI extension (@azure/functions-openapi) for automatic spec generation from Function code; specs published to Developer Portal; enables Postman / VS Code REST client / SDK generation for agent developers",N/A - GA today,"Generate specs for: /api/orchestrator / /api/agents / /mcp-gateway / /api/llm-proxy; publish to internal Developer Portal; version specs with semver aligned to API deployment versions"
Policy Engine - Custom Gateway Policies,Apply custom business logic at gateway layer (compliance checks / data classification / routing rules),Azure API Management Custom Policies (C# / Policy Expressions),[GA],"APIM policy expressions support C# inline code and external HTTP calls; call Azure Functions for complex policy logic (Cosmos DB lookups / ML model scoring); policy snippets shared via APIM named values; policies versioned in Git and deployed via Azure DevOps",N/A - GA today,"Wire repo's existing policy engine (apps/api/src/lib/policy/engine.ts) as APIM backend policy validator; APIM calls policy engine function before routing to LLM or MCP server; policy engine returns allow/deny/transform"
Policy Engine - Prompt Template Enforcement,Enforce approved system prompt templates on LLM calls to prevent prompt drift and ensure compliance,Azure API Management Policy + Prompt Template Registry (Cosmos DB),[GA],"APIM inbound policy reads agentId from request header; fetches approved system prompt from Cosmos DB skills/prompts container; overwrites or validates system_message field in request body; prevents agents from injecting unauthorized system prompts at runtime",N/A - GA today,"Skills registry already implemented in repo (skills.ts); APIM policy validates system prompt hash matches approved version for agentId; block calls with modified system prompts"
Policy Engine - A/B Prompt Testing,Route a percentage of LLM traffic to challenger prompt version to compare performance before full rollout,Azure API Management Routing Policy + Traffic Splitting + App Insights,[GA],"APIM inbound policy uses random() expression to split traffic by percentage (e.g. 90% to champion prompt / 10% to challenger); adds x-prompt-variant header to response; App Insights tracks metrics per variant; champion/challenger comparison dashboard in Monitor workbooks",N/A - GA today,"Implement as APIM policy with prompt version A/B flag in Cosmos DB skill definition; track variant in App Insights custom event; declare winner after statistical significance reached"
