UAP Capability Area,Required Feature/Capability,Azure AI Foundry / Azure Service,GA Status,Capability It Provides,GA Alternative (if not GA),Notes / Recommendation
One-Click Deployment - Inter-Agent Interoperability,Agents call other agents / tools / search history during execution,Foundry Multi-Agent Patterns (orchestrator agent calling specialist agents via tool calls),[GA] on top of GA Agent Service primitives,"Define orchestrator agent with specialist agents registered as tools; orchestrator delegates sub-tasks; thread context shared across agent calls; MAF MicrosoftFoundryAgentProvider for cross-framework interop",N/A - GA today,"Pattern: orchestrator agent + specialist agents (eligibility checker / coder / denial handler) all in same Foundry project; A2A Registry (implemented in repo) enables agent discovery"
One-Click Deployment - Zero-Downtime Deployment,Blue-green / canary / gradual rollout without interrupting operations,Azure Container Apps Revisions + Traffic Splitting,[GA],"Container Apps supports multiple simultaneous revisions with weighted traffic routing; activate new revision at 0% -> gradually increase -> deactivate old; instant rollback by shifting traffic back",N/A - GA today,Pair with Azure DevOps deployment gates that auto-shift traffic based on health probe thresholds
One-Click Deployment - Monitoring / Alerts / Automated Rollback,Track latency / failure rates / drift; auto-rollback on anomaly,Azure Monitor + Application Insights + Container Apps health probes,[GA],"App Insights tracks request latency / failure rate / dependency calls; Azure Monitor alert rules trigger Azure Functions for auto-rollback; Container Apps health probes auto-restart unhealthy revisions",N/A - GA today,"Rollback function: call Container Apps revision management API to de-activate bad revision; App Insights connection string already wired in repo"
One-Click Deployment - Preview / Early Access Mode,Deploy to preview for interactive testing without affecting production,Azure Container Apps staging revisions + Foundry Agent Service test threads,[GA],"Container Apps: dedicated staging revision with separate ingress URL; Foundry: create test thread/run against deployed agent without affecting prod threads; playground UI already implemented in repo",N/A - GA today,"IMDE experiments page (apps/web/app/imde/experiments/page.tsx) already surfaces this pattern; tie to Foundry test thread API"
IMDE - Secure Sandbox with Unified Data,Safe experimentation environment connected to enterprise data sources,Azure ML Studio Compute Clusters + Azure AI Foundry Projects + Private VNet,[GA],"Azure ML compute clusters with managed VNet; private endpoints to ADLS Gen2 / Cosmos DB; Entra ID access control; no public internet egress; data scientists access via Azure ML Studio or VS Code extension",N/A - GA today,"IMDE page partially built in repo (apps/web/app/imde/); wire Azure ML workspace private compute to enterprise Common Data Platform endpoints"
IMDE - Pre-Loaded Tools (AI-ML / LLM / Multimodal / Deep Learning),"Pre-loaded environments for classical ML, LLMs, multimodal, and deep learning",Azure ML Curated Environments + Azure AI Foundry Model Catalog,[GA],"Azure ML curated environments: pre-built Docker images for PyTorch / TensorFlow / Hugging Face / scikit-learn; Foundry Model Catalog: access to multimodal models (GPT-image-1.5 already deployed) and deep learning OSS models via serverless endpoints",N/A - GA today,Already have GPT-image-1.5 and text-embedding models deployed; Azure ML curated environments for training compute
IMDE - Collaboration & Version Control,Share notebooks / track changes / audit logs / domain expert collaboration,Azure ML Studio Notebooks + Git Integration + Azure DevOps,[GA],"Azure ML Studio notebooks with built-in Git integration (GitHub / Azure DevOps); notebook diff and history; co-authoring via shared compute; audit logs via Azure Monitor; domain expert access via RBAC roles",N/A - GA today,Grant Clinical Expert / Domain Expert personas read/comment access to ML workspace notebooks via Entra ID RBAC
IMDE - One-Command Push to Model Marketplace,Publish a trained model to the marketplace for evaluation and deployment,Azure ML mlflow.register_model() + Foundry model registration API,[GA],"MLflow tracking in Azure ML logs experiment runs; mlflow.register_model() pushes to model registry; from registry, trigger Foundry onboarding API via Azure DevOps pipeline; model card auto-populated from MLflow run metadata",N/A - GA today,Implement as a single CLI command / Jupyter magic that calls Azure ML registry then posts to marketplace submission API
IMDE - Continuous Improvement Loop,Pull real-world failure cases / retrain / push updates quickly,Azure ML Pipelines + Azure AI Foundry Evaluations + Service Bus triggers,[GA],"Azure ML retraining pipelines triggered by Service Bus events (drift detected / low confidence score); evaluation results from Foundry route failing cases to training dataset; pipeline publishes new version to marketplace on success",N/A - GA today,Wire App Insights custom events (low confidence / model error) to Service Bus topic; Service Bus trigger fires Azure ML retraining pipeline
Dynamic Agent Orchestrator - Typed Node Framework,Compose workflows with Agent / MCP / Model / Tool / Control-Flow / Human-in-Loop / Governance node types,React Flow (custom) + Foundry Agent Service + MAF (Microsoft Agent Framework),[GA] React Flow frontend + Foundry Agent Service backend,"React Flow canvas (already in repo) provides typed node UI; each node type maps to a Foundry Agent / MCP tool / model deployment / control-flow logic; MAF provides the runtime orchestration layer in Container Apps",N/A - GA today,"Visual canvas in repo uses React Flow; node type registry maps to Foundry agent types; MAF MicrosoftFoundryAgentProvider connects canvas nodes to Foundry at runtime"
Dynamic Agent Orchestrator - Context Sharing,All agents read/write from unified claim context across workflow steps,Foundry Agent Service Threads + Messages API,[GA],"Threads persist conversation and claim context across all agent runs in a workflow; each run can read prior messages; structured claim context object passed as message content; agents append results to shared thread",N/A - GA today,Pass claim context as structured JSON in thread messages; orchestrator agent reads/writes context at each workflow step
Dynamic Agent Orchestrator - Event-Driven Coordination,Agents trigger each other based on business events (denial received / auth completed),Azure Service Bus + Azure Functions event triggers,[GA],"Service Bus queues/topics route business events to workflow execution engine; Azure Functions subscribe to topics and initiate relevant agent runs; event correlation tracks multi-step claim lifecycle",N/A - GA today,"Service Bus already in repo infra (Bicep); implement event schema: {eventType / claimId / tenantId / payload}; Functions trigger Foundry agent runs on receipt"
Dynamic Agent Orchestrator - Adaptive Decision Logic,Conditional routing / exception paths / compensation logic,Foundry Orchestrator Agent + MAF conditional routing + custom control-flow nodes,[GA],"Orchestrator agent evaluates step outputs and decides next node (if/else routing); MAF supports conditional branching in agent pipelines; custom control-flow nodes in React Flow canvas trigger different agent paths",N/A - GA today,Implement as orchestrator agent system prompt with explicit routing instructions; fallback to Human-in-Loop node when confidence below threshold
Dynamic Agent Orchestrator - Governance & Safety (PHI-PII / RBAC / Audit),PHI/PII masking / RBAC-ABAC controls / audit logs / rollback,Azure AI Content Safety + Entra ID RBAC + Cosmos DB audit trail,[GA],"Azure AI Content Safety API: PII entity detection and masking in real time (GA); Entra ID RBAC: role-based access to workflow nodes and agent configs; Cosmos DB: append-only audit log per workflow execution step with actor / timestamp / action",N/A - GA today,"Content Safety PII detection GA in East US; integrate as pre/post processing step in each agent node; audit log schema: {workflowId / stepId / agentId / action / actor / timestamp / inputHash / outputHash}"
Dynamic Agent Orchestrator - Human Escalation,Route to human review when confidence is low or compliance requires oversight,Foundry Agent Service Human-in-Loop pattern + Azure Logic Apps / Service Bus,[GA],"Orchestrator agent detects low confidence and creates human review task; Service Bus routes task to human portal; human response resumes workflow via API callback; full state preserved in Foundry thread",N/A - GA today,Implement as dedicated Human-in-Loop node type in React Flow; human review UI already scaffolded; workflow pauses on Service Bus message await
Dynamic Agent Orchestrator - Observability Hooks,Built-in metrics / traceability / outcome evaluation across all steps,OpenTelemetry + Azure Monitor + Application Insights + Foundry tracing,[GA],"Foundry Agent Service emits OpenTelemetry traces for each run / tool call / message; App Insights receives spans and creates distributed trace; custom metrics per workflow step (latency / tokens / cost / outcome); live dashboards via Azure Monitor workbooks",N/A - GA today,AIProjectClient.telemetry.getApplicationInsightsConnectionString() already implemented in repo; enable Foundry built-in tracing; add custom span attributes for claim context and step outcome
Visual Agent Builder - Drag-and-Drop Workflow Assembly,Visually place and connect workflow steps without coding,React Flow (custom canvas in repo) + Foundry Agent Service backend,[GA],"React Flow provides node/edge graph with drag-drop, connection handles, custom node types, and minimap; nodes represent Foundry agents / MCP tools / control-flow; edges represent data/event flow; workflow serialized to JSON for Cosmos DB storage",N/A - GA today,React Flow already a dependency in the repo; orchestrator canvas page exists; implement node palette sidebar with typed node components
Visual Agent Builder - Built-In Guardrails & Compliance,Prevent PHI in outputs / infinite loops / unauthorized overrides / RBAC on sensitive configs,Azure AI Content Safety + Foundry safety system prompts + Entra ID RBAC,[GA],"Content Safety API blocks PHI in agent outputs; system prompt safety instructions injected at agent creation; RBAC prevents non-admin users from editing governance/compliance nodes; loop detection via max-step counter in orchestrator",N/A - GA today,"Enforce: (1) Content Safety post-processing on all agent outputs, (2) RBAC node-level permissions in canvas, (3) max execution step limit in orchestrator agent"
Visual Agent Builder - Telemetry / Debugging / Test Runs,Test-run a single claim through workflow; attach metrics and logs to steps,Foundry Agent Service test threads + App Insights,[GA],"Create isolated test thread with single claim payload; execute full workflow against test thread; each step's run ID links to App Insights trace for detailed debugging; step-level latency and token usage visible in portal",N/A - GA today,"IMDE experiments page (apps/web/app/imde/experiments/page.tsx) already provides this surface; connect to Foundry thread/run API for real execution traces"
Visual Agent Builder - Versioning / Approvals / Rollback,Every workflow saved with history; requires approval before go-live; one-click rollback,Cosmos DB workflow versions + custom approval workflow + Foundry agent versioning,[PARTIAL] - Cosmos DB versioning is GA; Foundry visual workflow versioning (YAML) still has preview elements,"Cosmos DB stores every workflow version with timestamp and author; approval state machine (Draft/Review/Approved) in Cosmos; rollback by deploying previous approved version; Foundry agent definitions versioned by agent ID","Use Cosmos DB as version store (GA) + custom approval API (Azure Functions GA) + Azure DevOps approval gates (GA); avoid Foundry YAML workflow layer (Preview)",Multi-agent workflows (visual/YAML layer in Foundry) marked [PARTIAL] Preview; use Cosmos DB + React Flow JSON serialization as authoritative version store
Visual Agent Builder - Reusable Subflows & Templates,Prebuilt workflow templates for common RCM patterns (Appeal Handling / Auth Checks),Cosmos DB template library + React Flow subflow composition,[GA] custom implementation,"Store curated workflow templates in Cosmos DB templates container; React Flow supports subflow nodes that expand into child graphs; template picker UI in canvas sidebar; template versioning via same Cosmos workflow versioning pattern",N/A - GA today,Seed Cosmos with standard RCM templates: Eligibility Check workflow / Denial Appeal workflow / Prior Auth workflow / Coding Assist workflow
Visual Agent Builder - Interoperability & Extensibility,Standard schemas to connect any agent / model / external service; custom logic with safeguards,MCP Tools (GA pattern) + Foundry OpenAI-compatible API + Azure API Management,[GA],"MCP tools expose any external service as a standardized tool endpoint; Foundry OpenAI-compatible API ensures consistent agent interface; APIM enforces policy (auth / rate limit / PII masking) on all tool calls; vendor engineers register MCP servers via marketplace publisher portal",N/A - GA today,MCP Gateway fully implemented in repo; APIM Bicep module in infra/; any 3rd-party tool becomes an MCP server behind APIM gateway
Visual Agent Builder - Agent Attribute Configuration,Model choice / I/O schema / knowledge source (RAG) / search on-off / temperature / PHI masking per agent node,Foundry Agent Service configuration API + AIProjectClient.agents.createAgent(),[GA],"createAgent() accepts: model (modelId), instructions (system prompt), tools (file_search / code_interpreter / MCP / Azure AI Search), temperature, max tokens; RAG attached via vector store IDs; PHI masking via Content Safety tool; all config persisted per agent definition",N/A - GA today,Agent attribute panel in React Flow node inspector maps directly to createAgent() parameters; model picker pulls from live Foundry deployment list via AIProjectClient.deployments.list()
Cross-Cutting - Multi-Tenant Isolation,All data and agent execution isolated by tenantId,Azure Cosmos DB (partition key = tenantId) + Entra ID tenant RBAC,[GA],"Cosmos DB partition key tenantId ensures physical data isolation and cost attribution per tenant; Entra ID token carries tenantId claim for RBAC enforcement at API layer; Key Vault per-tenant secret namespacing",N/A - GA today,All Cosmos containers in repo already use tenantId partition key; enforce tenantId extraction from Entra ID token in every Azure Function
Cross-Cutting - Private Networking,All AI traffic (agents / models / tools / data) stays within private VNet,Foundry Agent Service Standard Setup + Private Endpoints,[GA],"BYO VNet with private endpoints for Foundry / Cosmos DB / Key Vault / Storage / AI Search; deny-by-default outbound rules; private DNS zones for name resolution; MAF/LangGraph in Container Apps reaches Foundry via private endpoint",N/A - GA today,Private endpoint Bicep modules in infra/; East US 2 recommended for full private networking GA support; MCP servers in Container Apps on same VNet
Cross-Cutting - HIPAA / SOC2 Compliance,PHI/PII protection / audit trail / HIPAA-covered service usage,Azure HIPAA/HITECH Blueprint + Azure AI Content Safety + Cosmos DB audit log,[GA],"Azure Foundry Agent Service is available in HIPAA-covered Azure regions; Content Safety API provides PII detection (GA); Cosmos DB append-only audit containers log every action; Azure Policy enforces compliant resource configurations",N/A - GA today,Ensure Azure AI services configured under BAA (Business Associate Agreement); use East US 2 which has HIPAA-covered Foundry; Content Safety PII detection in every agent node
Cross-Cutting - Foundry Multi-Agent Workflows (Visual/YAML orchestration layer),Foundry-native visual or YAML workflow composition with branching and human-in-loop,Azure AI Foundry Multi-Agent Workflows (YAML/visual layer),[PREVIEW] - workflow layer parts remain in Preview,"Visual/YAML orchestration in Foundry portal for multi-agent branching; some workflow features still carry preview flags","GA Alternative: Custom React Flow canvas (already in repo) + MAF orchestration in Container Apps + Foundry Agent Service for individual agents (all GA); this is the recommended GA-only architecture for this repo",IMPORTANT: Do NOT use Foundry YAML workflow layer in production until GA; use the repo's custom React Flow canvas + Cosmos DB workflow store instead
Cross-Cutting - Hosted Agents (containers on Foundry Agent Service),Run custom LangGraph/MAF containers managed directly by Foundry Agent Service,Azure AI Foundry Hosted Agents,[NOT GA] Preview only,"Run containerized agent runtimes (LangGraph / MAF) fully managed inside Foundry Agent Service; eliminates need to manage Container Apps compute for agent runtimes","GA Alternative: Deploy MAF and/or LangGraph in Azure Container Apps (GA) with Container Apps managed identity calling Foundry Agent Service via private endpoint; full control over compute and scaling",This is the current repo architecture (MAF/LangGraph in Container Apps calling Foundry); correct GA approach confirmed
